,target_Z,target_A,phase,energy,stopping_power,percentage_error,publication_year
192,3,6.941,1,39.1325,11.1328,7.0,1995
193,3,6.941,1,44.4549,11.0518,7.0,1995
194,3,6.941,1,50.5011,10.8928,7.0,1995
195,3,6.941,1,57.3698,10.6649,7.0,1995
196,3,6.941,1,65.1726,10.3791,7.0,1995
197,3,6.941,1,74.0367,10.0473,7.0,1995
198,3,6.941,1,84.1064,9.68146,7.0,1995
199,3,6.941,1,87.1551,9.62582,7.0,1995
200,3,6.941,1,95.5457,9.29281,7.0,1995
201,3,6.941,1,96.9785,9.34295,7.0,1995
202,3,6.941,1,107.909,9.03546,7.0,1995
203,3,6.941,1,108.541,8.89145,7.0,1995
204,3,6.941,1,120.072,8.70748,7.0,1995
205,3,6.941,1,123.303,8.48602,7.0,1995
206,3,6.941,1,133.606,8.36322,7.0,1995
207,3,6.941,1,140.074,8.08359,7.0,1995
208,3,6.941,1,148.665,8.00686,7.0,1995
209,3,6.941,1,165.421,7.64244,7.0,1995
210,3,6.941,1,184.066,7.27376,7.0,1995
211,3,6.941,1,204.813,6.90432,7.0,1995
212,3,6.941,1,227.898,6.53725,7.0,1995
213,3,6.941,1,253.585,6.1753,7.0,1995
214,3,6.941,1,282.167,5.82082,7.0,1995
215,3,6.941,1,313.971,5.47577,7.0,1995
216,3,6.941,1,349.359,5.14175,7.0,1995
217,3,6.941,1,388.737,4.81996,7.0,1995
218,3,6.941,1,432.552,4.51135,7.0,1995
219,3,6.941,1,481.306,4.21652,7.0,1995
220,3,6.941,1,535.556,3.93586,7.0,1995
221,3,6.941,1,595.92,3.66954,7.0,1995
222,3,6.941,1,663.087,3.41754,7.0,1995
223,3,6.941,1,699.459,3.29687,7.0,1995
224,4,9.0122,1,2250.0,1.8359,0.3,1967
225,4,9.0122,1,2500.0,1.6939,0.3,1967
226,4,9.0122,1,2750.0,1.5739,0.3,1967
227,4,9.0122,1,3000.0,1.4717,0.3,1967
228,4,9.0122,1,3250.0,1.3828,0.3,1967
229,4,9.0122,1,3500.0,1.3053,0.3,1967
230,4,9.0122,1,3750.0,1.2367,0.3,1967
231,4,9.0122,1,4000.0,1.1756,0.3,1967
232,4,9.0122,1,4250.0,1.1207,0.3,1967
233,4,9.0122,1,4500.0,1.0713,0.3,1967
234,4,9.0122,1,4750.0,1.0261,0.3,1967
235,4,9.0122,1,5000.0,0.9856,0.3,1967
236,4,9.0122,1,5250.0,0.948,0.3,1967
237,4,9.0122,1,5500.0,0.9136,0.3,1967
238,4,9.0122,1,5750.0,0.8817,0.3,1967
239,4,9.0122,1,6000.0,0.8523,0.3,1967
240,4,9.0122,1,6500.0,0.7993,0.3,1967
241,4,9.0122,1,7000.0,0.7532,0.3,1967
242,4,9.0122,1,7500.0,0.7125,0.3,1967
243,4,9.0122,1,8000.0,0.6765,0.3,1967
244,4,9.0122,1,8500.0,0.6441,0.3,1967
245,4,9.0122,1,9000.0,0.615,0.3,1967
246,4,9.0122,1,9500.0,0.5886,0.3,1967
247,4,9.0122,1,10000.0,0.5647,0.3,1967
248,4,9.0122,1,10500.0,0.5427,0.3,1967
249,4,9.0122,1,11000.0,0.5226,0.3,1967
250,4,9.0122,1,11500.0,0.5041,0.3,1967
251,4,9.0122,1,12000.0,0.4869,0.3,1967
252,4,9.0122,1,47.447,10.4555,3.0,1956
253,4,9.0122,1,79.768,10.4421,3.0,1956
254,4,9.0122,1,104.461,10.395,3.0,1956
255,4,9.0122,1,118.087,10.1102,3.0,1956
256,4,9.0122,1,136.754,9.9455,3.0,1956
257,4,9.0122,1,175.521,9.1725,3.0,1956
258,4,9.0122,1,198.437,8.8497,3.0,1956
259,4,9.0122,1,206.301,8.504,3.0,1956
260,4,9.0122,1,240.532,7.8276,3.0,1956
261,4,9.0122,1,253.976,7.5034,3.0,1956
262,4,9.0122,1,280.493,7.2048,3.0,1956
263,4,9.0122,1,323.714,6.6408,3.0,1956
264,4,9.0122,1,356.537,6.413,3.0,1956
265,4,9.0122,1,456.095,5.5348,3.0,1956
266,4,9.0122,1,514.521,5.1341,3.0,1956
267,4,9.0122,1,550.294,5.113,3.0,1956
268,4,9.0122,1,560.42,5.0404,3.0,1956
269,4,9.0122,1,567.247,4.7933,3.0,1956
270,4,9.0122,1,654.433,4.4708,3.0,1956
271,4,9.0122,1,755.197,4.0679,3.0,1956
272,4,9.0122,1,758.257,4.1908,3.0,1956
273,4,9.0122,1,861.127,3.8123,3.0,1956
274,4,9.0122,1,960.018,3.5427,3.0,1956
275,4,9.0122,1,1059.303,3.2509,3.0,1956
276,4,9.0122,1,1154.465,3.1443,3.0,1956
277,4,9.0122,1,1254.979,3.01,3.0,1956
278,4,9.0122,1,1357.492,2.7696,3.0,1956
279,4,9.0122,1,1458.424,2.618,3.0,1956
280,4,9.0122,1,1496.587,2.6828,3.0,1956
281,4,9.0122,1,1601.978,2.5258,3.0,1956
282,4,9.0122,1,1703.127,2.421,3.0,1956
283,4,9.0122,1,1807.51,2.2617,3.0,1956
284,4,9.0122,1,1911.182,2.164,3.0,1956
285,4,9.0122,1,2010.883,2.0693,3.0,1956
286,4,9.0122,1,2200.078,1.935,3.0,1956
287,4,9.0122,1,2308.247,1.9477,3.0,1956
288,4,9.0122,1,2409.126,1.8923,3.0,1956
289,4,9.0122,1,2510.636,1.7579,3.0,1956
290,4,9.0122,1,2611.352,1.8823,3.0,1956
291,4,9.0122,1,17.617,8.6585,4.0,1980
292,4,9.0122,1,19.974,8.6625,4.0,1980
293,4,9.0122,1,22.51,9.3264,4.0,1980
294,4,9.0122,1,25.106,10.4605,4.0,1980
295,4,9.0122,1,25.221,9.6069,4.0,1980
296,4,9.0122,1,27.466,9.6362,4.0,1980
297,4,9.0122,1,28.496,10.0535,4.0,1980
298,4,9.0122,1,33.279,10.3526,4.0,1980
299,4,9.0122,1,34.617,11.189,4.0,1980
300,4,9.0122,1,34.62,10.7601,4.0,1980
301,4,9.0122,1,36.614,10.5841,4.0,1980
302,4,9.0122,1,36.921,10.9976,4.0,1980
303,4,9.0122,1,40.912,11.9337,4.0,1980
